id,school,degree,time_start,time_end
01549cd6-1c22-4df2-a211-b5db67fb7d17,Beaulieu Convent School,"A Levels, Biology, Psychology, History",2012,2019
015a0bd2-388a-4ee7-9c71-12551aa609cd,Blanchelande Girls' College,,1999 – 2010,
015a0bd2-388a-4ee7-9c71-12551aa609cd,Blanchelande Girls' College,,1999 – 2010,
015a0bd2-388a-4ee7-9c71-12551aa609cd,University of Exeter,"Bachelor of Laws (LLB), Law",2010,2013
015a0bd2-388a-4ee7-9c71-12551aa609cd,University of Exeter,"Bachelor of Laws (LLB), Law",2010,2013
0161b5a0-d9d1-448c-a2fe-b70eedb45efb,Humboldt-Universität zu Berlin,"Tesi di Laurea, Ingegneria biomedica/medica",2018,
0161b5a0-d9d1-448c-a2fe-b70eedb45efb,Sapienza Università di Roma,"Master's degree, Biomedical/Medical Engineering",2016,2018
0161b5a0-d9d1-448c-a2fe-b70eedb45efb,Università di Roma Tor Vergata,Laurea triennale in Ingegneria Medica,2010,2015
017b4ce8-e666-4227-91e0-bad5fc33e059,Western Carolina University,"Bachelor of Science (B.S.), Criminal Justice",1991,1995
017dd3a5-c48d-4466-9fce-1dfec200bcb3,Alliance Manchester Business School,"MBA, for Construction Executives",2007,2010
017dd3a5-c48d-4466-9fce-1dfec200bcb3,Institution of Structural Engineers,"CEng, Part 3 Exam (Chartership)",2005,2005
017dd3a5-c48d-4466-9fce-1dfec200bcb3,King's College London,MSc Construction Law and Dispute Resolution,2017,2019
017dd3a5-c48d-4466-9fce-1dfec200bcb3,"University College London, U. of London","APM, Association of Project Management",2011,2011
017dd3a5-c48d-4466-9fce-1dfec200bcb3,University of Warwick,"BEng, Civil Engineering",1996,1999
018b4de7-ac30-4750-acb5-27c967a260fb,Rensselaer Polytechnic Institute,"Bachelor of Science, Materials Engineering",,
0190cbc0-b119-47d5-8ae5-85c5ea3911a5,Politecnico di Milano,"Bachelor's degree - Biomedical Engineering, Ingegneria biomedica/medica",,
0190cbc0-b119-47d5-8ae5-85c5ea3911a5,Politecnico di Milano,"Bachelor's degree - Biomedical Engineering, Ingegneria biomedica/medica",,
0190cbc0-b119-47d5-8ae5-85c5ea3911a5,Politecnico di Milano,"Master's Degree biomedical engineering, Biomedical Engineering",2013,2016
0190cbc0-b119-47d5-8ae5-85c5ea3911a5,Politecnico di Milano,"Master's Degree biomedical engineering, Biomedical Engineering",2013,2016
01963409-0103-4b23-a161-d1166d63520d,Católica Lisbon School of Business and Economics,Bachelor's degree,2020,2020
01963409-0103-4b23-a161-d1166d63520d,Dr EP Scarlett High School,Alberta Diploma,2013,2016
01963409-0103-4b23-a161-d1166d63520d,Smith School of Business at Queen's University,"Bachelor of Commerce - BCom, Business/Commerce, General",2017,2021
01a0c8ea-0ed0-497d-a727-f937411f88ad,University of Kentucky,"Bachelor of Applied Science (B.A.Sc.), Economics",1992,1996
01a4ae66-24e6-4dfc-9ce6-394ea9de5751,San Diego State University-California State University,"M.S., Tax Accounting",,
01a4ae66-24e6-4dfc-9ce6-394ea9de5751,University of Southern California,"B.S., Professional Accounting",,
01cfe1d9-872e-4cbc-bbb0-dac15e8d97e4,The University of Stirling,"Bachelor’s Degree, Spanish and Latin American Studies",2010,2015
01cfe1d9-872e-4cbc-bbb0-dac15e8d97e4,The University of Stirling,"Master’s Degree, Translation and TESOL",2016,2017
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,Southern New Hampshire University,"Master's degree, Business Administration and Business Intelligence",2018,2020
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,Southern New Hampshire University,"Master's degree, Business Administration and Business Intelligence",2018,2020
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,University of Michigan,"Bachelor's Degree, Biology, General; Chemistry minor",2008,2015
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,University of Michigan,"Bachelor's Degree, Biology, General; Chemistry minor",2008,2015
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,University of Michigan-Flint,"Biology, Biology/Biological Sciences, General",2010,2015
01d0ec29-e61b-4522-8b7d-8dd06f6d6f62,University of Michigan-Flint,"Biology, Biology/Biological Sciences, General",2010,2015
01d2195a-5eeb-41a1-8783-2207f8cb1b7e,Arizona State University - W. P. Carey School of Business,Master of Business Administration - MBA,2018,2020
01d2195a-5eeb-41a1-8783-2207f8cb1b7e,Rochester Institute of Technology,"BS, Mechanical Engineering",2006,2011
01ef0824-4989-44ca-b0b6-2cacfd7bac2a,Texas A&M University,"Bachelor of Science, Construction Science",2012,2016
01faa487-2a21-45bb-9fe7-ca218a65ebcb,The Ohio State University,"Bachelor of Science (B.S.), Hospitality Administration/Management",2007,2011
01ffe833-d052-4d4a-a519-c9f177a4d187,Association Of Chartered Certified Accountants,,2010,
01ffe833-d052-4d4a-a519-c9f177a4d187,"University of Technology and Agriculture, Bydgoszcz, Poland","Master's Degree in Technical Physics, Technical Physics",2001,2006
02104391-ef16-4dfb-9651-13987cd67a2c,"University of California, Irvine","Bachelor’s Degree, Material Science Engineering",2005,2010
02104391-ef16-4dfb-9651-13987cd67a2c,"University of California, Irvine","Bachelor’s Degree, Mechanical Engineering",2005,2010
021a4fcd-c280-4996-8304-b31d87613fc5,Cornell University,"BS, Biological Sciences",1984,1988
021a4fcd-c280-4996-8304-b31d87613fc5,"MD, Medicine",,1988 – 1992,
021bc067-bcc2-46e9-966b-9a21a34d41f6,ACCA,"ACCA Member, Qualified in August 2016",2012,2016
021bc067-bcc2-46e9-966b-9a21a34d41f6,ACCA,"ACCA Member, Qualified in August 2016",2012,2016
021bc067-bcc2-46e9-966b-9a21a34d41f6,Uniwersytet Śląski w Katowicach,"Master Degree in Polish-English Translation and Interpretation, Faculty of English Philology",2006,2011
021bc067-bcc2-46e9-966b-9a21a34d41f6,Uniwersytet Śląski w Katowicach,"Master Degree in Polish-English Translation and Interpretation, Faculty of English Philology",2006,2011
021bc067-bcc2-46e9-966b-9a21a34d41f6,Uniwersytet Ekonomiczny w Katowicach,"Master Degree in Accounting, Faculty of Accounting and Finance",2005,2010
021bc067-bcc2-46e9-966b-9a21a34d41f6,Uniwersytet Ekonomiczny w Katowicach,"Master Degree in Accounting, Faculty of Accounting and Finance",2005,2010
021bf3d4-af72-42ee-8cca-5a8e2f634cdf,ESIC: Business & Marketing School,"MARKETING PLAN SEMINARS, DIPLOMA",1993,1994
021bf3d4-af72-42ee-8cca-5a8e2f634cdf,ESIC: Business & Marketing School,"Postgraduate Course in Marketing Streategy, DIPLOMA",1992,1993
021bf3d4-af72-42ee-8cca-5a8e2f634cdf,INSTITUTO DIRECTIVOS DE EMPRESA(IDE-CESEM),"MASTER EN MARKETING, DIPLOMA",1989,1991
021bf3d4-af72-42ee-8cca-5a8e2f634cdf,Universidad Complutense de Madrid,Medicina,1980,1984
021bf3d4-af72-42ee-8cca-5a8e2f634cdf,Universidad Politécnica de Madrid,"MARKETING MANAGEMENT, DIPLOMA",1989,1991
021e5e4f-2135-4fec-a8cc-712f9fe671db,Olivet Nazarene University,"Biology/Chemistry, Life Sciences",2003,2007
02205844-584c-4c34-9a8b-1194d28f15ef,University of Kentucky,"B.B.A., Marketing",,
0225f40d-90fc-490e-bb88-daf011272710,Collierville High School,"High School Diploma, General Education",1994,1997
0225f40d-90fc-490e-bb88-daf011272710,The University of Memphis,"Business Administration and Management, General",1997,2004
0228dc33-2f31-48d5-9b60-2006e8de4803,Hofstra University,Television and Film Production,,
0228dc33-2f31-48d5-9b60-2006e8de4803,St. John's University,"Bachelor of Arts (B.A.), Liberal Arts and Sciences/Liberal Studies, Global Relations",,
02374cc2-7bab-4549-a54a-c9e545095f0e,Towson University,"BS, Business/Marketing",,
0247e796-7d3b-41ab-96f6-701250ba90bb,"University of California, Riverside","Bachelor of Science (BS), Biological Sciences, Medical Biology",2010,2014
0247e796-7d3b-41ab-96f6-701250ba90bb,"University of California, Riverside","Bachelor of Science (BS), Biological Sciences, Medical Biology",2010,2014
024d3294-4afc-4ffe-ad10-bd8858c954c3,University of Cincinnati,"Bachelor of Science - BS, Biomedical Engineering",2016,2021
024d3294-4afc-4ffe-ad10-bd8858c954c3,University of Cincinnati,"Bachelor of Science - BS, Biomedical Engineering",2016,2021
024d3294-4afc-4ffe-ad10-bd8858c954c3,Villa Madonna Academy,"High School, General Studies",2012,2016
024d3294-4afc-4ffe-ad10-bd8858c954c3,Villa Madonna Academy,"High School, General Studies",2012,2016
02610514-d692-437e-90de-5cbff59b9cca,"California State University, Long Beach",,,
02704a9f-2839-4345-aedd-5085cf32f506,Butler University,"Bachelor of Science - BS, Chemistry",2015,2020
02704a9f-2839-4345-aedd-5085cf32f506,Butler University,"Bachelor of Science - BS, Chemistry",2015,2020
02704a9f-2839-4345-aedd-5085cf32f506,Indiana University–Purdue University Indianapolis,"Bachelor of Science - BS, Bioengineering and Biomedical Engineering",2015,2020
02704a9f-2839-4345-aedd-5085cf32f506,Indiana University–Purdue University Indianapolis,"Bachelor of Science - BS, Bioengineering and Biomedical Engineering",2015,2020
02704a9f-2839-4345-aedd-5085cf32f506,Northmont High School,Honors Diploma,2011,2015
02704a9f-2839-4345-aedd-5085cf32f506,Northmont High School,Honors Diploma,2011,2015
028eb51a-99e8-449b-a493-90a0e156d251,Bradley University,"Bachelor of Science (B.S.), Mechanical Engineering",1989,2004
028eb51a-99e8-449b-a493-90a0e156d251,Bradley University,"Bachelor of Science (B.S.), Mechanical Engineering",1989,2004
0290715e-1081-4395-934f-29cd7b18b4fd,"University of California, Los Angeles","Bachelor of Applied Science (BASc), Mechanical Engineering",1986,1991
0290715e-1081-4395-934f-29cd7b18b4fd,"University of California, Los Angeles","BS, Cum Laude, Mechanical Engineering (Specialization in Design, Dynamics and Control)",1986,1991
029dab1b-ca7a-4470-95d4-213a3ff04d7c,The Nottingham Trent University,"Bachelor's degree, Quantity Surveying",1993,1997
029dab1b-ca7a-4470-95d4-213a3ff04d7c,University of Central Lancashire,"Master of Science (MSc), Construction Law",2000,2002
029dab1b-ca7a-4470-95d4-213a3ff04d7c,University of Northumbria at Newcastle,"Bachelor of Laws (LLB), Law",2004,2007
029f0954-75fc-4c38-83d1-eab4826348f2,MRICS,"BSc(Hons), Quantity Surveying",,
029f0954-75fc-4c38-83d1-eab4826348f2,The Nottingham Trent University,"BSc (Hons), Quantity Surveying",1988,1992
02a6567e-9c30-4241-b535-5fab5e74548d,Beaminster Comprehensive,,1997 – 2002,
02a6567e-9c30-4241-b535-5fab5e74548d,Bournemouth University,Dip HE Operating Department Practice,2005,2008
02a6567e-9c30-4241-b535-5fab5e74548d,"Thomas Hardy 6th Form, Dorchester",,2002 – 2004,
02a7cf4d-76cb-4eb6-a79f-0d14759dde68,Western Michigan University,"Master, Materials Science and Engineering",2002,2004
02a7cf4d-76cb-4eb6-a79f-0d14759dde68,Yildiz Teknik Üniversitesi,"BS, Material Science and Engineering",1998,2002
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,ICSA: The Governance Institute,"Graduate, Chartered Secretaries Qualifying Scheme",2009,2011
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,ICSA: The Governance Institute,"Graduate, Chartered Secretaries Qualifying Scheme",2009,2011
